AD 
PerformanceVector
PerformanceVector:
accuracy: 21.96% +/- 0.80% (micro average: 21.96%)
ConfusionMatrix:
True:	WARRANTS	OTHER OFFENSES	LARCENY/THEFT	VEHICLE THEFT	VANDALISM	NON-CRIMINAL	ROBBERY	ASSAULT	WEAPON LAWS	BURGLARY	SUSPICIOUS OCC	DRUNKENNESS	FORGERY/COUNTERFEITING	DRUG/NARCOTIC	STOLEN PROPERTY	SECONDARY CODES	TRESPASS	MISSING PERSON	FRAUD	KIDNAPPING	RUNAWAY	DRIVING UNDER THE INFLUENCE	SEX OFFENSES FORCIBLE	PROSTITUTION	DISORDERLY CONDUCT	ARSON	FAMILY OFFENSES	LIQUOR LAWS	BRIBERY	EMBEZZLEMENT	SUICIDE	LOITERING	SEX OFFENSES NON FORCIBLE	EXTORTION	GAMBLING	BAD CHECKS	TREA	RECOVERED VEHICLE	PORNOGRAPHY/OBSCENE MAT
classification_error: 78.04% +/- 0.80% (micro average: 78.04%)
ConfusionMatrix:
True:	WARRANTS	OTHER OFFENSES	LARCENY/THEFT	VEHICLE THEFT	VANDALISM	NON-CRIMINAL	ROBBERY	ASSAULT	WEAPON LAWS	BURGLARY	SUSPICIOUS OCC	DRUNKENNESS	FORGERY/COUNTERFEITING	DRUG/NARCOTIC	STOLEN PROPERTY	SECONDARY CODES	TRESPASS	MISSING PERSON	FRAUD	KIDNAPPING	RUNAWAY	DRIVING UNDER THE INFLUENCE	SEX OFFENSES FORCIBLE	PROSTITUTION	DISORDERLY CONDUCT	ARSON	FAMILY OFFENSES	LIQUOR LAWS	BRIBERY	EMBEZZLEMENT	SUICIDE	LOITERING	SEX OFFENSES NON FORCIBLE	EXTORTION	GAMBLING	BAD CHECKS	TREA	RECOVERED VEHICLE	PORNOGRAPHY/OBSCENE MAT
WARRANTS:	8	8	8	2	6	11	1	8	1	9	5	1	0	3	2	1	0	4	0	1	0	0	1	0	2	0	0	0	0	1	0	5	0	0	0	0	0	0	0
OTHER OFFENSES:	9095	40460	29952	13269	7372	14859	6550	12766	2057	2579	5060	782	1021	11840	781	1526	602	3779	1897	392	179	807	593	2681	702	241	56	363	48	86	31	372	27	26	25	27	1	685	4
LARCENY/THEFT:	27454	74347	135532	35526	33092	69228	14338	53766	5306	30970	22863	3078	8887	30103	3432	7072	5574	19033	13630	1641	1570	1356	3304	4588	2819	984	361	1365	199	987	411	666	110	215	105	355	3	2092	18
VEHICLE THEFT:	458	1391	1805	2306	1108	944	358	1676	185	696	525	52	152	430	41	236	56	586	214	51	48	17	93	7	49	75	16	19	8	17	12	5	2	3	1	5	0	28	0
VANDALISM:	23	62	91	47	58	42	24	83	18	22	32	4	8	23	1	14	5	37	5	2	2	4	6	0	4	6	0	1	1	1	0	0	0	0	0	1	0	9	0
NON-CRIMINAL:	65	132	225	55	52	218	21	137	15	59	69	5	17	53	6	22	10	74	20	7	7	2	7	3	3	2	2	0	0	0	6	0	0	0	0	3	0	0	0
ROBBERY:	0	0	1	0	1	1	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASSAULT:	795	2256	2627	1829	1747	1491	594	2939	449	1254	1053	71	183	711	85	564	146	1447	259	89	80	35	133	16	55	158	23	25	22	21	18	11	6	6	5	8	2	209	0
WEAPON LAWS:	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BURGLARY:	1	10	7	11	6	7	3	10	2	8	6	0	1	2	0	1	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUSPICIOUS OCC:	1	6	2	1	1	2	2	3	0	1	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
DRUNKENNESS:	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FORGERY/COUNTERFEITING:	0	0	3	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRUG/NARCOTIC:	4224	7256	4014	627	1122	5084	1089	5371	513	987	1766	284	321	10747	188	537	915	657	608	155	7	46	238	151	671	44	29	126	11	51	27	148	3	6	10	7	0	106	0
STOLEN PROPERTY:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SECONDARY CODES:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRESPASS:	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MISSING PERSON:	8	10	28	18	14	21	4	38	4	11	9	0	1	7	0	6	8	46	2	1	1	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0
FRAUD:	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIDNAPPING:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUNAWAY:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRIVING UNDER THE INFLUENCE:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEX OFFENSES FORCIBLE:	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROSTITUTION:	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DISORDERLY CONDUCT:	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARSON:	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAMILY OFFENSES:	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIQUOR LAWS:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRIBERY:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EMBEZZLEMENT:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUICIDE:	0	0	6	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
LOITERING:	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEX OFFENSES NON FORCIBLE:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
